01MAS202412152025121350
5024001659  4AGT4150000087000100R415000MA1000001100001011000100100011000001100000110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174003TR174698ES2187FEC06                   415001   
75    26V6UM  1174003TR 15174698ES1517919                     
52174003TR  1      41500000            04500002   87D      75000  1      500      FRC2B    0   
52174003AT  241500041500000      045400      2087D   75000       1 500         2B 2B V2    0   
52174003PK  341500041500000      045900      2087D   75000       1 500         V2    V2    0   
5217411000  441500041500000      050300      2087D   75000       1 500         V2    V2    0   
52174102BF  541500041500000      050700      2087D   75000       1 500         V2    VU    0   
52174102EP  641500041500000      051200      2087D   75000       1 500         VU    VU    0   
5217460700  741500041500000      052100      2087D   75000       1 500         VU    VU    0   
5217462300  841500041500000      054000      2087D   75000       1 500         VU    VU    0   
52174649BV  941500041500000      055600      2087D   75000       1 500         VU    VU    0   
5217465600 1041500041500000      060400      2087D   75000       1 500         VU    VU    0   
52174664BV 1141500041500000061700      0618002287D87D75000 75000 11500   500   VU    VU    0   
