01MAS202412152025121350
5024001644  1SER  28610087081100R  2860E32C 0000000000000000000010000001000000000000010000000000000000000010000001000000100000010000001000000100000000000001000000100000010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000191973XL113001001187LVE01                            
75    26N7AL  1191973XL 77113001001869974                     
52191973XL  1        286100      081100      10LVE   TGV2N2      1                   V1    0   
74DTGV                           200 100000000000000000000000000010000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001500000024520250127191604
74DTGV                           400 200000000000000000000100000000000000000000100000000000000000000000000000000001000000100000010000001000000000000010000001000000100000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001500000024520250317191930
52192039TS 29  2860  286000      085100      10LVE   TGV2N2      2             211   211   0   
52192039DP 30  2860  286000      085200      10LVE   TGV2N2      2             211   211   0   
52192047AO 31  2860  286000      085230      10LVE   TGV2N2      2             211   211   0   
52192047YT 32  2860  286000      085300      10LVE   TGV2N2      2             211   211   0   
5219240100 33  2860  286000      085600      10LVE   TGV2N2      2             211   211   0   
5219241900 34  2860  286000      085730      10LVE   TGV2N2      2             211   211   0   
52192427BV 35  2860  286000      085900      10LVE   TGV2N2      2             211   211   0   
52192427BF 36  2860  286000      085930      10LVE   TGV2N2      2             211212V2    0   
52192427AB 37  2860  286000      090000      10LVE   TGV2N2      2             V2    V2    0   
52192468P3 38  2860  286000      090130      10LVE   TGV2N2      2             V2    V2    0   
52192468BV 39  2860  286000      090200      10LVE   TGV2N2      2             V2 V2 R2M   0   
72V2    0000000000000000000010000001000000000000010000000000000000000010000001000000100000010000001000000100000000000001000000100000010000001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                                                                                                                                                                                                                                                                                                                                                                                1500000024520241230191544
